  1    0.22752E-03
  2    0.45415E-03
  3    0.67898E-03
  4    0.90113E-03
  5    0.11197E-02
  6    0.13339E-02
  7    0.15428E-02
  8    0.17456E-02
  9    0.19415E-02
 10    0.21298E-02
 11    0.23096E-02
 12    0.24804E-02
 13    0.26413E-02
 14    0.27918E-02
 15    0.29313E-02
 16    0.30592E-02
 17    0.31750E-02
 18    0.32783E-02
 19    0.33686E-02
 20    0.34457E-02
 21    0.35091E-02
 22    0.35587E-02
 23    0.35943E-02
 24    0.36156E-02
 25    0.36227E-02
 26    0.36155E-02
 27    0.35940E-02
 28    0.35583E-02
 29    0.35086E-02
 30    0.34450E-02
 31    0.33678E-02
 32    0.32774E-02
 33    0.31740E-02
 34    0.30580E-02
 35    0.29301E-02
 36    0.27905E-02
 37    0.26400E-02
 38    0.24790E-02
 39    0.23083E-02
 40    0.21285E-02
 41    0.19403E-02
 42    0.17445E-02
 43    0.15417E-02
 44    0.13329E-02
 45    0.11189E-02
 46    0.90045E-03
 47    0.67845E-03
 48    0.45379E-03
 49    0.22734E-03
