before: itr =  26, myrank =   1, x( 16, 2) =     0.26204E-01, x( 16, 3) =     0.62946E-01
after: itr =  26, myrank =   1, x(  1, 2) =     0.26204E-01, x(  1, 3) =     0.62946E-01
after: itr =  26, myrank =   1, x(  2, 2) =     0.42399E-01, x(  2, 3) =     0.10185E+00
after: itr =  26, myrank =   1, x(  3, 2) =     0.42399E-01, x(  3, 3) =     0.10185E+00
after: itr =  26, myrank =   1, x(  4, 2) =     0.26204E-01, x(  4, 3) =     0.62946E-01
after: itr =  26, myrank =   1, x(  5, 2) =     0.42399E-01, x(  5, 3) =     0.10185E+00
after: itr =  26, myrank =   1, x(  6, 2) =     0.68604E-01, x(  6, 3) =     0.16479E+00
after: itr =  26, myrank =   1, x(  7, 2) =     0.68604E-01, x(  7, 3) =     0.16479E+00
after: itr =  26, myrank =   1, x(  8, 2) =     0.42399E-01, x(  8, 3) =     0.10185E+00
after: itr =  26, myrank =   1, x(  9, 2) =     0.42399E-01, x(  9, 3) =     0.10185E+00
after: itr =  26, myrank =   1, x( 10, 2) =     0.68604E-01, x( 10, 3) =     0.16479E+00
after: itr =  26, myrank =   1, x( 11, 2) =     0.68603E-01, x( 11, 3) =     0.16479E+00
after: itr =  26, myrank =   1, x( 12, 2) =     0.42399E-01, x( 12, 3) =     0.10185E+00
after: itr =  26, myrank =   1, x( 13, 2) =     0.26204E-01, x( 13, 3) =     0.62946E-01
after: itr =  26, myrank =   1, x( 14, 2) =     0.42399E-01, x( 14, 3) =     0.10185E+00
after: itr =  26, myrank =   1, x( 15, 2) =     0.42399E-01, x( 15, 3) =     0.10185E+00
after: itr =  26, myrank =   1, x( 16, 2) =     0.26204E-01, x( 16, 3) =     0.62946E-01
before: itr =  31, myrank =   1, x(  1, 2) =     0.26204E-01, x(  1, 3) =     0.62946E-01
before: itr =  31, myrank =   1, x(  2, 2) =     0.42399E-01, x(  2, 3) =     0.10185E+00
before: itr =  31, myrank =   1, x(  3, 2) =     0.42399E-01, x(  3, 3) =     0.10185E+00
before: itr =  31, myrank =   1, x(  4, 2) =     0.26204E-01, x(  4, 3) =     0.62946E-01
before: itr =  31, myrank =   1, x(  5, 2) =     0.42399E-01, x(  5, 3) =     0.10185E+00
before: itr =  31, myrank =   1, x(  6, 2) =     0.68604E-01, x(  6, 3) =     0.16479E+00
before: itr =  31, myrank =   1, x(  7, 2) =     0.68603E-01, x(  7, 3) =     0.16479E+00
before: itr =  31, myrank =   1, x(  8, 2) =     0.42399E-01, x(  8, 3) =     0.10185E+00
before: itr =  31, myrank =   1, x(  9, 2) =     0.42399E-01, x(  9, 3) =     0.10185E+00
before: itr =  31, myrank =   1, x( 10, 2) =     0.68603E-01, x( 10, 3) =     0.16479E+00
before: itr =  31, myrank =   1, x( 11, 2) =     0.68604E-01, x( 11, 3) =     0.16479E+00
before: itr =  31, myrank =   1, x( 12, 2) =     0.42399E-01, x( 12, 3) =     0.10185E+00
before: itr =  31, myrank =   1, x( 13, 2) =     0.26204E-01, x( 13, 3) =     0.62946E-01
before: itr =  31, myrank =   1, x( 14, 2) =     0.42399E-01, x( 14, 3) =     0.10185E+00
before: itr =  31, myrank =   1, x( 15, 2) =     0.42399E-01, x( 15, 3) =     0.10185E+00
before: itr =  31, myrank =   1, x( 16, 2) =     0.26204E-01, x( 16, 3) =     0.62946E-01
after: itr =  31, myrank =   1, x(  1, 2) =     0.26204E-01, x(  1, 3) =     0.62946E-01
after: itr =  31, myrank =   1, x(  2, 2) =     0.42399E-01, x(  2, 3) =     0.10185E+00
after: itr =  31, myrank =   1, x(  3, 2) =     0.42399E-01, x(  3, 3) =     0.10185E+00
after: itr =  31, myrank =   1, x(  4, 2) =     0.26204E-01, x(  4, 3) =     0.62946E-01
after: itr =  31, myrank =   1, x(  5, 2) =     0.42399E-01, x(  5, 3) =     0.10185E+00
after: itr =  31, myrank =   1, x(  6, 2) =     0.68604E-01, x(  6, 3) =     0.16479E+00
after: itr =  31, myrank =   1, x(  7, 2) =     0.68604E-01, x(  7, 3) =     0.16479E+00
after: itr =  31, myrank =   1, x(  8, 2) =     0.42399E-01, x(  8, 3) =     0.10185E+00
after: itr =  31, myrank =   1, x(  9, 2) =     0.42399E-01, x(  9, 3) =     0.10185E+00
after: itr =  31, myrank =   1, x( 10, 2) =     0.68604E-01, x( 10, 3) =     0.16479E+00
after: itr =  31, myrank =   1, x( 11, 2) =     0.68604E-01, x( 11, 3) =     0.16479E+00
after: itr =  31, myrank =   1, x( 12, 2) =     0.42399E-01, x( 12, 3) =     0.10185E+00
after: itr =  31, myrank =   1, x( 13, 2) =     0.26204E-01, x( 13, 3) =     0.62946E-01
after: itr =  31, myrank =   1, x( 14, 2) =     0.42399E-01, x( 14, 3) =     0.10185E+00
after: itr =  31, myrank =   1, x( 15, 2) =     0.42399E-01, x( 15, 3) =     0.10185E+00
after: itr =  31, myrank =   1, x( 16, 2) =     0.26204E-01, x( 16, 3) =     0.62946E-01
before: itr =  36, myrank =   1, x(  1, 2) =     0.26204E-01, x(  1, 3) =     0.62946E-01
before: itr =  36, myrank =   1, x(  2, 2) =     0.42399E-01, x(  2, 3) =     0.10185E+00
before: itr =  36, myrank =   1, x(  3, 2) =     0.42399E-01, x(  3, 3) =     0.10185E+00
before: itr =  36, myrank =   1, x(  4, 2) =     0.26204E-01, x(  4, 3) =     0.62946E-01
before: itr =  36, myrank =   1, x(  5, 2) =     0.42399E-01, x(  5, 3) =     0.10185E+00
before: itr =  36, myrank =   1, x(  6, 2) =     0.68604E-01, x(  6, 3) =     0.16479E+00
before: itr =  36, myrank =   1, x(  7, 2) =     0.68604E-01, x(  7, 3) =     0.16479E+00
before: itr =  36, myrank =   1, x(  8, 2) =     0.42399E-01, x(  8, 3) =     0.10185E+00
before: itr =  36, myrank =   1, x(  9, 2) =     0.42399E-01, x(  9, 3) =     0.10185E+00
before: itr =  36, myrank =   1, x( 10, 2) =     0.68604E-01, x( 10, 3) =     0.16479E+00
before: itr =  36, myrank =   1, x( 11, 2) =     0.68604E-01, x( 11, 3) =     0.16479E+00
before: itr =  36, myrank =   1, x( 12, 2) =     0.42399E-01, x( 12, 3) =     0.10185E+00
before: itr =  36, myrank =   1, x( 13, 2) =     0.26204E-01, x( 13, 3) =     0.62946E-01
before: itr =  36, myrank =   1, x( 14, 2) =     0.42399E-01, x( 14, 3) =     0.10185E+00
before: itr =  36, myrank =   1, x( 15, 2) =     0.42399E-01, x( 15, 3) =     0.10185E+00
before: itr =  36, myrank =   1, x( 16, 2) =     0.26204E-01, x( 16, 3) =     0.62946E-01
after: itr =  36, myrank =   1, x(  1, 2) =     0.26204E-01, x(  1, 3) =     0.62946E-01
after: itr =  36, myrank =   1, x(  2, 2) =     0.42399E-01, x(  2, 3) =     0.10185E+00
after: itr =  36, myrank =   1, x(  3, 2) =     0.42399E-01, x(  3, 3) =     0.10185E+00
after: itr =  36, myrank =   1, x(  4, 2) =     0.26204E-01, x(  4, 3) =     0.62946E-01
after: itr =  36, myrank =   1, x(  5, 2) =     0.42399E-01, x(  5, 3) =     0.10185E+00
after: itr =  36, myrank =   1, x(  6, 2) =     0.68604E-01, x(  6, 3) =     0.16479E+00
after: itr =  36, myrank =   1, x(  7, 2) =     0.68604E-01, x(  7, 3) =     0.16479E+00
after: itr =  36, myrank =   1, x(  8, 2) =     0.42399E-01, x(  8, 3) =     0.10185E+00
after: itr =  36, myrank =   1, x(  9, 2) =     0.42399E-01, x(  9, 3) =     0.10185E+00
after: itr =  36, myrank =   1, x( 10, 2) =     0.68604E-01, x( 10, 3) =     0.16479E+00
after: itr =  36, myrank =   1, x( 11, 2) =     0.68604E-01, x( 11, 3) =     0.16479E+00
after: itr =  36, myrank =   1, x( 12, 2) =     0.42399E-01, x( 12, 3) =     0.10185E+00
after: itr =  36, myrank =   1, x( 13, 2) =     0.26204E-01, x( 13, 3) =     0.62946E-01
after: itr =  36, myrank =   1, x( 14, 2) =     0.42399E-01, x( 14, 3) =     0.10185E+00
after: itr =  36, myrank =   1, x( 15, 2) =     0.42399E-01, x( 15, 3) =     0.10185E+00
after: itr =  36, myrank =   1, x( 16, 2) =     0.26204E-01, x( 16, 3) =     0.62946E-01
before: itr =  41, myrank =   1, x(  1, 2) =     0.26204E-01, x(  1, 3) =     0.62946E-01
before: itr =  41, myrank =   1, x(  2, 2) =     0.42399E-01, x(  2, 3) =     0.10185E+00
before: itr =  41, myrank =   1, x(  3, 2) =     0.42399E-01, x(  3, 3) =     0.10185E+00
before: itr =  41, myrank =   1, x(  4, 2) =     0.26204E-01, x(  4, 3) =     0.62946E-01
before: itr =  41, myrank =   1, x(  5, 2) =     0.42399E-01, x(  5, 3) =     0.10185E+00
before: itr =  41, myrank =   1, x(  6, 2) =     0.68604E-01, x(  6, 3) =     0.16479E+00
before: itr =  41, myrank =   1, x(  7, 2) =     0.68604E-01, x(  7, 3) =     0.16479E+00
before: itr =  41, myrank =   1, x(  8, 2) =     0.42399E-01, x(  8, 3) =     0.10185E+00
before: itr =  41, myrank =   1, x(  9, 2) =     0.42399E-01, x(  9, 3) =     0.10185E+00
before: itr =  41, myrank =   1, x( 10, 2) =     0.68604E-01, x( 10, 3) =     0.16479E+00
before: itr =  41, myrank =   1, x( 11, 2) =     0.68604E-01, x( 11, 3) =     0.16479E+00
before: itr =  41, myrank =   1, x( 12, 2) =     0.42399E-01, x( 12, 3) =     0.10185E+00
before: itr =  41, myrank =   1, x( 13, 2) =     0.26204E-01, x( 13, 3) =     0.62946E-01
before: itr =  41, myrank =   1, x( 14, 2) =     0.42399E-01, x( 14, 3) =     0.10185E+00
before: itr =  41, myrank =   1, x( 15, 2) =     0.42399E-01, x( 15, 3) =     0.10185E+00
before: itr =  41, myrank =   1, x( 16, 2) =     0.26204E-01, x( 16, 3) =     0.62946E-01
after: itr =  41, myrank =   1, x(  1, 2) =     0.26204E-01, x(  1, 3) =     0.62946E-01
after: itr =  41, myrank =   1, x(  2, 2) =     0.42399E-01, x(  2, 3) =     0.10185E+00
