before: itr =  26, myrank =   0, x( 15, 2) =     0.12933E-02, x( 15, 3) =     0.00000E+00
before: itr =  26, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =  26, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
before: itr =  26, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
before: itr =  26, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
before: itr =  26, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.76713E-01
after: itr =  26, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.13287E+00
after: itr =  26, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.15343E+00
after: itr =  26, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.13287E+00
after: itr =  26, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.76713E-01
after: itr =  26, myrank =   0, x(  1, 2) =     0.18199E-01, x(  1, 3) =     0.59017E-01
after: itr =  26, myrank =   0, x(  2, 2) =     0.31522E-01, x(  2, 3) =     0.10222E+00
after: itr =  26, myrank =   0, x(  3, 2) =     0.36398E-01, x(  3, 3) =     0.11803E+00
after: itr =  26, myrank =   0, x(  4, 2) =     0.31522E-01, x(  4, 3) =     0.10222E+00
after: itr =  26, myrank =   0, x(  5, 2) =     0.18199E-01, x(  5, 3) =     0.59017E-01
after: itr =  26, myrank =   0, x(  6, 2) =     0.37242E-02, x(  6, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x(  7, 2) =     0.64504E-02, x(  7, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x(  8, 2) =     0.74483E-02, x(  8, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x(  9, 2) =     0.64505E-02, x(  9, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 10, 2) =     0.37242E-02, x( 10, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
after: itr =  26, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.76713E-01
before: itr =  31, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.13287E+00
before: itr =  31, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.15343E+00
before: itr =  31, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.13287E+00
before: itr =  31, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.76713E-01
before: itr =  31, myrank =   0, x(  1, 2) =     0.18199E-01, x(  1, 3) =     0.59017E-01
before: itr =  31, myrank =   0, x(  2, 2) =     0.31522E-01, x(  2, 3) =     0.10222E+00
before: itr =  31, myrank =   0, x(  3, 2) =     0.36398E-01, x(  3, 3) =     0.11803E+00
before: itr =  31, myrank =   0, x(  4, 2) =     0.31522E-01, x(  4, 3) =     0.10222E+00
before: itr =  31, myrank =   0, x(  5, 2) =     0.18199E-01, x(  5, 3) =     0.59017E-01
before: itr =  31, myrank =   0, x(  6, 2) =     0.37242E-02, x(  6, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x(  7, 2) =     0.64504E-02, x(  7, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x(  8, 2) =     0.74483E-02, x(  8, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x(  9, 2) =     0.64504E-02, x(  9, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 10, 2) =     0.37242E-02, x( 10, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 11, 2) =     0.66562E-03, x( 11, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 12, 2) =     0.13863E-02, x( 12, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 13, 2) =     0.18173E-02, x( 13, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 14, 2) =     0.17901E-02, x( 14, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 15, 2) =     0.12933E-02, x( 15, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
before: itr =  31, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.76713E-01
after: itr =  31, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.13287E+00
after: itr =  31, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.15343E+00
after: itr =  31, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.13287E+00
after: itr =  31, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.76713E-01
after: itr =  31, myrank =   0, x(  1, 2) =     0.18199E-01, x(  1, 3) =     0.59017E-01
after: itr =  31, myrank =   0, x(  2, 2) =     0.31522E-01, x(  2, 3) =     0.10222E+00
after: itr =  31, myrank =   0, x(  3, 2) =     0.36398E-01, x(  3, 3) =     0.11803E+00
after: itr =  31, myrank =   0, x(  4, 2) =     0.31522E-01, x(  4, 3) =     0.10222E+00
after: itr =  31, myrank =   0, x(  5, 2) =     0.18199E-01, x(  5, 3) =     0.59017E-01
after: itr =  31, myrank =   0, x(  6, 2) =     0.37242E-02, x(  6, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x(  7, 2) =     0.64504E-02, x(  7, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x(  8, 2) =     0.74483E-02, x(  8, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x(  9, 2) =     0.64504E-02, x(  9, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 10, 2) =     0.37242E-02, x( 10, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
after: itr =  31, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
